glycosample_id	GS_20
glycosample_entry	GS_20_E1
pmid	6132915
journal_name	J Biochem.
journal_site	Yamashita K._et_al_Fig.7
journal_title	Carbohydrate structures of bovine kidney gamma-glutamyltranspeptidase.
description	
organism	bovine
taxonomy_name	Bos taurus
taxonomy_id	9913
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	not data
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not adata
disease_stage	not data
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	microsomal fraction of bovine kidney
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
