glycosample_id	GS_26		
glycosample_entry	GS_26_E1	GS_26_E2	GS_26_E3
pmid	3930453	6643471	7320438
journal_name	Jpn J Cancer Res.	J Biol Chem.	J Endocrinol Invest.
journal_site	Mizuochi T_et_al_Fig.4	Mizuochi T_et_al_materials and methods	Nishimura R._et_al_materialsa and methods
journal_title	Comparison of carbohydrate structure between human chorionic gonadotropin present in urine of patients with trophoblastic diseases and healthy individuals.	Structures of the asparagine-linked sugar chains of human chorionic gonadotropin produced in choriocarcinoma. Appearance of triantennary sugar chains and unique biantennary sugar chains.	The biochemical properties of urinary human chorionic gonadotropin from the patients with trophoblastic disease.
description			
organism	human		
taxonomy_name	Homo sapiens (Human)		
taxonomy_id	9606		
bioproject_id			
strain			
breed			
cultivar			
isolate_label			
biomaterial_provider	Kobe University Hospital	see PMID:7320438	
collection_date			
host			
subspecf_gen_lin			
tissue_type			
age	not data	see PMID:7320438	
anamorph			
authority			
recombinant_information			
cell_line			
cell_type			
collected_by			
culture_collection			
dev_stage			
disease	gestational choriocarcinoma 	see PMID:7320438	
disease_stage	not data	see PMID:7320438	
genotype			
haplotype			
health_state	pregnant	see PMID:7320438	
host_body_site			
isolation_source	Kobe University Hospital	see PMID:7320438	
lab_host			
passage_history	Three patients: 38 years old woman *1, 49 years old woman *2, and 29 years old woman *3	see PMID:7320438	
pathovar			
phenotype			
sample_type	urine	see PMID:7320438	
serotype			
serovar			
sex	female	see PMID:7320438	
specimen_voucher			
subgroup			
subtype			
teleomorph			
