glycosample_id	GS_49			
glycosample_entry	GS_49_E1	GS_49_E2	GS_49_E3	GS_49_E4
pmid	9613818	3930453	6643471	7320438
journal_name	Glycoconj J.	Jpn J Cancer Res.	J Biol Chem.	J Endocrinol Invest.
journal_site	Kobata A._Table1	Mizuochi T_et_al_Fig.4	Mizuochi T_et_al_materials and methods	Nishimura R._et_al_materialsa and methods
journal_title	A retrospective and prospective view of glycopathology.	Comparison of carbohydrate structure between human chorionic gonadotropin present in urine of patients with trophoblastic diseases and healthy individuals.	Structures of the asparagine-linked sugar chains of human chorionic gonadotropin produced in choriocarcinoma. Appearance of triantennary sugar chains and unique biantennary sugar chains.	The biochemical properties of urinary human chorionic gonadotropin from the patients with trophoblastic disease.
description				
organism	human	human	human	human
taxonomy_name	Homo sapiens (Human)	Homo sapiens (Human)	Homo sapiens (Human)	Homo sapiens (Human)
taxonomy_id	9606	9606	9606	9606
bioproject_id				
grant				the Ministry of Education of Japan. n.548285. and n. 567284. and from the ministry of Health and Welfare of Japan
strain				
breed				
cultivar				
isolate_label				
biomaterial_provider		Kobe University Hospital		not data
collection_date				
host				
subspecf_gen_lin				
tissue_type				
age		38, 49, 29 years old		23, 37 years old
anamorph				
authority				
recombinant_information				
cell_line				
cell_type				
collected_by				
culture_collection				
dev_stage				
disease		gestational choriocarcinoma 		trophoblastic disease
disease_stage		not data		
genotype				
haplotype				
health_state	pregnant	pregnant	pregnant	pregnant
host_body_site				
isolation_source		Kobe University Hospital: Three patients: 38 years old woman *1, 49 years old woman *2, and 29 years old woman *3		a normal pregnat woman (10weeks gestation, primipara) and 2 patients with trophoblastic disease
lab_host				
passage_history				2 patients: A 23 years old woman, gravida O, para O, was diagnosis as a normal pregnance.  A 37 year old woman, gravida 3 para2, was admitted to our department with genital bleeding in June, 1979.
pathovar				
phenotype				
sample_type	urine	urine	see PMID:7320438	urine
serotype				
serovar				
sex	female	female	female	female
specimen_voucher				
subgroup				
subtype				
teleomorph				
